Date,SeasonNumber,SeasonVersion,Player,MatchId,Map,Category,Playlist,Input,Queue,PreCsr,PostCsr,WinningTeam,WinningTeamCSR,WinningTeamMMR,WinningTeamScore,WinningTeamFinalScore,WinningTeamWinPercentChance,LosingTeam,LosingTeamCSR,LosingTeamMMR,LosingTeamScore,LosingTeamFinalScore,LosingTeamWinPercentChance,Rank,WasAtStart,WasAtEnd,WasInProgressJoin,Mmr,Outcome,Accuracy,DamageDone,DamageTaken,ShotsFired,ShotsLanded,ShotsMissed,KD,KDA,TotalKills,KillsMelee,KillsGrenade,KillsHeadshot,KillsPower,AssistsEmp,AssistsDriver,AssistsCallout,Deaths,Assists,Betrayals,Suicides,MaxSpree,VehicleDestroys,VehicleHijacks,ExpectedKills,ExpectedDeaths,Score,Perfects,Medals,LengthSeconds
"2023-04-25 06:46:01",3,1,GrrdMlmr,aeac5c88-6a6d-49ba-bb27-15328c2ba71b,Breaker,Slayer,"Big Team Battle",CrossPlay,Open,0,0,,,,,,,,,,,,,24,1,0,0,,Left,31.83,1681,2255,377,120,257,0.33,-5.66,3,0,0,2,0,0,0,4,9,1,0,0,2,0,0,9,6,390,0,1,606
"2023-04-25 06:57:03",3,1,GrrdMlmr,8c9ac5fa-cf84-49d1-86b7-84030fbaa6c8,Fragmentation,CTF,"Big Team Battle",CrossPlay,Open,0,0,,,,,,,,,,,,,23,1,0,0,,Left,41.29,1796,3207,201,83,118,0.42,-6.00,5,0,0,5,0,0,0,10,12,3,0,0,3,0,0,6,10,775,0,5,936
"2023-04-25 07:09:54",3,1,GrrdMlmr,149b3b6a-c3a5-41f3-bf1c-28ade0675857,Breaker,Slayer,"Big Team Battle",CrossPlay,Open,0,0,,,,,,,,,,,,,5,1,1,0,,Win,54.05,2480,1608,185,100,85,2.00,6.00,10,0,1,8,6,0,0,4,5,3,0,0,7,0,0,9,6,1190,0,11,523
"2023-04-25 07:21:02",3,1,GrrdMlmr,12411cd4-89f9-4935-90d6-82557f7db913,Chasm,Slayer,"Super Fiesta",CrossPlay,Open,0,0,,,,,,,,,,,,,7,1,1,0,,Loss,45.48,2929,4673,1084,493,591,0.56,-6.33,9,0,0,1,0,0,0,7,16,2,0,5,2,0,0,13,14,570,0,4,632
"2023-04-25 07:33:04",3,1,GrrdMlmr,860ac00f-27e4-428b-b02e-ed3ccffee7ea,Bazaar,Slayer,"Super Fiesta",CrossPlay,Open,0,0,,,,,,,,,,,,,9,1,0,0,,Left,40.74,964,1367,54,22,32,0.40,-2.33,2,1,0,0,0,0,0,2,5,2,0,0,1,0,0,5,5,320,0,0,583
"2023-04-25 07:38:38",3,1,GrrdMlmr,2acf8684-1afd-43fe-923d-7580bf7c052d,Streets,Slayer,"Super Fiesta",CrossPlay,Open,0,0,,,,,,,,,,,,,2,1,1,0,,Win,64.09,3919,3030,181,116,65,1.25,3.66,15,1,1,2,5,0,0,2,12,2,0,0,5,0,0,11,9,1620,0,8,452
"2023-04-25 07:48:21",3,1,GrrdMlmr,0dc6b6a9-73b9-4d04-941c-c6fde32586a0,Solution,Slayer,"Super Fiesta",CrossPlay,Open,0,0,,,,,,,,,,,,,5,1,1,0,,Loss,51.02,4432,3942,147,75,72,1.21,4.00,17,1,0,1,14,0,0,3,14,3,0,1,3,0,0,9,10,1780,0,11,449
"2023-04-25 07:57:35",3,1,GrrdMlmr,becf91b0-7e70-4f3c-94f5-794db86f8d1e,Cliffhanger,Slayer,"Super Fiesta",CrossPlay,Open,0,0,,,,,,,,,,,,,6,1,1,0,,Loss,43,4061,4282,293,126,167,0.93,-0.33,13,0,0,2,7,0,0,8,14,2,0,1,3,0,0,13,12,1380,0,6,570
"2023-04-26 23:25:23",3,1,GrrdMlmr,14115f66-9c70-442a-a414-d13c4e6d47fb,Empyrean,CTF,"Quick Play",CrossPlay,Open,0,0,,,,,,,,,,,,,5,1,1,0,,Loss,57.07,5406,5102,615,351,264,1.24,6.00,21,0,2,3,1,0,0,10,17,6,0,0,5,0,0,15,15,2575,0,10,727
"2023-04-26 23:39:24",3,1,GrrdMlmr,090a2223-8ce5-47e4-86c6-73b876f88faa,Detachment,"Escalation Slayer","Quick Play",CrossPlay,Open,0,0,,,,,,,,,,,,,9,1,0,0,,Left,25.45,1571,2159,55,14,41,0.22,-6.66,2,0,0,0,2,0,0,0,9,1,0,0,1,0,0,7,7,250,0,1,559
"2023-04-26 23:43:31",3,1,GrrdMlmr,5989828c-f517-458b-90e9-a8f9447d6b7e,Cliffhanger,"Escalation Slayer","Quick Play",CrossPlay,Open,0,0,,,,,,,,,,,,,1,0,1,1,,Win,44.67,4154,3588,244,109,135,1.31,6.00,17,1,0,5,3,0,0,6,13,6,0,0,2,0,0,13,13,2060,0,14,557
